frame,time(s),R knee (deg)
555,2.3125,75.549
556,2.316666667,75.733
557,2.320833333,76.552
558,2.325,77.147
559,2.329166667,77.493
560,2.333333333,77.963
561,2.3375,78.339
562,2.341666667,78.809
563,2.345833333,79.547
564,2.35,79.738
565,2.354166667,79.892
566,2.358333333,80.195
567,2.3625,80.856
568,2.366666667,81.598
569,2.370833333,81.794
570,2.375,82.346
571,2.379166667,82.891
572,2.383333333,82.94
573,2.3875,84.009
574,2.391666667,84.315
575,2.395833333,84.869
576,2.4,85.493
577,2.404166667,85.73
578,2.408333333,86.193
579,2.4125,86.276
580,2.416666667,86.817
581,2.420833333,87.346
582,2.425,87.767
583,2.429166667,88.145
584,2.433333333,88.953
585,2.4375,89.615
586,2.441666667,89.7
587,2.445833333,90.033
588,2.45,90.571
589,2.454166667,91.107
590,2.458333333,91.66
591,2.4625,91.782
592,2.466666667,92.25
593,2.470833333,92.338
594,2.475,92.998
595,2.479166667,93.428
596,2.483333333,94.001
597,2.4875,94.434
598,2.491666667,95.158
599,2.495833333,95.288
600,2.5,95.596
601,2.504166667,96.125
602,2.508333333,97.047
603,2.5125,97.268
604,2.516666667,97.136
605,2.520833333,97.884
606,2.525,98.541
607,2.529166667,99.033
608,2.533333333,99.256
609,2.5375,99.815
610,2.541666667,99.815
611,2.545833333,100.23
612,2.55,100.684
613,2.554166667,101.357
614,2.558333333,101.48
615,2.5625,101.937
616,2.566666667,102.416
617,2.570833333,102.645
618,2.575,103.154
619,2.579166667,103.671
620,2.583333333,103.804
621,2.5875,104.649
622,2.591666667,104.649
623,2.595833333,104.882
624,2.6,105.627
625,2.604166667,105.769
626,2.608333333,106.094
627,2.6125,106.236
628,2.616666667,106.992
629,2.620833333,107.139
630,2.625,107.357
631,2.629166667,107.742
632,2.633333333,108.25
633,2.6375,108.686
634,2.641666667,108.632
635,2.645833333,109.558
636,2.65,109.704
637,2.654166667,110.089
638,2.658333333,110.591
639,2.6625,111.127
640,2.666666667,111.288
641,2.670833333,111.607
642,2.675,111.789
643,2.679166667,112.271
644,2.683333333,112.572
645,2.6875,113.25
646,2.691666667,113.492
647,2.695833333,113.735
648,2.7,113.978
649,2.704166667,114.291
650,2.708333333,114.466
